编号	普通话	方言	发音	注释
0130	旁边	旁边 旁边头	boruŋ21miŋ331 boruŋ21miŋ44nau331 	
0131	上	上	sioŋ23 	碗在桌子～
0132	下	下	a23 	凳子在桌子～
0133	边儿	墘头	giŋ21nau21 	桌子的～
0134	角儿	角头	gœuk5lau21 	桌子的～
0135	上去	上来	sioŋ23lei21 	他～了
0136	下来	下来	a23lei21 	他～了
0137	进去	底爿来	daeiŋ41nei21 	他～了
0138	出来	外来	ŋe23lei21 	他～了
0139	出去	外去	ŋe23ø35 	他～了
0140	回来	倒来	dor35lei21 	他～了
0141	起来	起来	ki55ai331 	天冷～了
0142	树	柴树	ca21ʒeu35 	
0143	木头	柴	ca21 	
0144	松树	松柴	suŋ21nʒa21 	统称
0145	柏树	柏	bœuk5 	统称
0146	杉树	杉柴	saŋ23nʒa331 	
0147	柳树	柳树	liu55ʒeu35 	
0148	竹子	竹	døuk5 	统称
0149	笋	笋	suŋ41 	
0150	叶子	树箬	ciu55nik2 	
0151	花	花	ho331 	
0152	花蕾	蕾	lui41 	花骨朵
0153	梅花	梅花	mui21o331 	
0154	牡丹	牡丹	miu55daŋ331 	
0155	荷花	莲花	laeiŋ21ŋo331 	
0156	草	草	co41 	
0157	藤	藤	deiŋ21 	
0158	刺	刺	ci35 	名词
0159	水果	果子	gu35i51 	
0160	苹果	苹果	biŋ21ŋu41 	
0161	桃子	桃	tor21 	
0162	梨	梨	lei21 	
0163	李子	铺＝李	pu35li51 	
0164	杏	桁＝饼	aŋ23miaŋ41 	
0165	橘子	橘	gek5 	
0166	柚子	老包＝	lau44bau331 	
0167	柿子	柿	kei23 	
0168	石榴	石榴	ci44eu21 	
0169	枣	枣	zor41 	
0170	栗子	栗子	lik44zi41 	
0171	核桃	核桃	hork44tor21 	
0172	银杏	银杏	ŋiŋ21ŋœuŋ23 	白果
0173	甘蔗	甘蔗	gaŋ44me35 	
0174	木耳	木米	mu44mi41 	
0175	蘑菇	蘑菇	mo21ou331 	野生的
0176	香菇	香菇	hioŋ44ŋou331 	
0177	稻	粙	deu23 	指植物
0178	稻谷	粟	cuk5 	指子实
0179	稻草	秆	gaŋ41 	脱粒后的
0180	大麦	大麦	do44mak2 	指植物
0181	小麦	小麦	siu35mak5 	指植物
0182	麦秸	麦秆	ma44gaŋ41 	脱粒后的
0183	谷子	黍囝	su55iaŋ51 	指植物(子实是小米)
0184	高粱	黍	sœ331 	指植物
0185	玉米	番豆	horuŋ44nau23 	指成株的植物
0186	棉花	棉花	miŋ21ŋo42 	指植物
0187	油菜	油菜	yiu21ʒai331 	油料作物，不是蔬菜
0188	芝麻	油麻	yiu21mo21 	
0189	向日葵	向日花	hioŋ55ni44o21 	指植物
0190	蚕豆	茶豆	da21lau23 	
0191	豌豆	麦前豆	me44eiŋ21nau23 	
0192	花生	花生	ho44lœuŋ331 	指果实，注意婉称
0193	黄豆	白豆	ba44dau23 	
0194	绿豆	绿豆	luk44dau23 	
0195	豇豆	豇豆	goruŋ44nau23 	
0196	大白菜	白菜	ba44ʒai35 	东北～
0197	包心菜	包菜	bau44ʒai35 	卷心菜，圆白菜，球形的
0198	菠菜	红头菜	œuŋ21nau21nʒai35 	
0199	芹菜	芹菜	kiŋ21nʒai35 	
0200	莴笋	香荬	hioŋ44mae23 	
0201	韭菜	韭菜	giu55ʒai35 	
0202	香菜	香菜	hioŋ44ŋʒai25 	芫荽
0203	葱	葱	cœuŋ331 	
0204	蒜	蒜头	soruŋ55nau21 	
0205	姜	姜	gioŋ331 	
0206	洋葱	番葱	huaŋ44nʒœuŋ331 	
0207	辣椒	辣茄	lak44gi21 	统称
0208	茄子	紫菜	zi55ai35 	统称
0209	西红柿	番柿	huaŋ44ŋei23 	
0210	萝卜	萝卜	lau21βouk2 	统称
0211	胡萝卜	红萝卜 红萝卜	œuŋ21lau21βouk2 œŋ21lor21buk2 	
0212	黄瓜	菜瓜	ci55o331 	
0213	丝瓜	礼=瓜	lae55o331 	无棱的
0214	南瓜	金瓠	giŋ23mou331 	扁圆形或梨形，成熟时赤褐色
0215	荸荠	莳栗	si21lik5 	
0216	红薯	番薯	høuŋ23nøi331 	统称
0217	马铃薯	洋芋卵	yioŋ21u44loruŋ41 	
0218	芋头	芋卵	u44loruŋ41 	
0219	山药	淮山	huai21laŋ331 	圆柱形的
0220	藕	藕	ŋau23 	
0221	老虎	老虎	lau41 	
0222	猴子	猴	gau21 	
0223	蛇	老蛇	lau44e21 	统称
0224	老鼠	老鼠	lau44i41 	家里的
0225	蝙蝠	瑟婆壁	bi21bor21bek5 	
0226	鸟儿	隻囝 鸟囝	zi55iaŋ51 zaeu55giaŋ53 	飞鸟，统称 飞鸟，统称
0227	麻雀	王鴓	wuŋ21mek5 	
0228	喜鹊	吉鹊	gi55cik5 	
0229	乌鸦	乌鸦	u44a331 	
0230	鸽子	白鸽	ba44ak5 	
