编号	普通话	方言	发音	注释
0555	入殓	收殓	siu44liŋ23 	
0556	棺材	棺材	guaŋ23nʒai331 	
0557	出殡	出殡	cuk55beiŋ331 	
0558	灵位	龙牌	luŋ21mae21 	
0559	坟墓	红坟 墓	œuŋ21uŋ41 mu35 	单个的，老人的 单个的，老人的
0560	上坟	祭墓	zi55mu35 	
0561	纸钱	元宝 纸钱	ŋu23mor331 ze35iŋ51 	
0562	老天爷	玉皇大帝 天爷	ŋi55ouŋ21do44dae35 tiŋ23i331 	
0563	菩萨	菩萨	bu21lak5 	统称
0564	观音	观音菩萨	guaŋ44eiŋ331bu21lak5 	
0565	灶神	灶神	zau55leiŋ21 	口头的叫法，其中如有方言亲属称谓要释义
0566	寺庙	庵堂庙观	aŋ21noruŋ44miu44uaŋ23 	
0567	祠堂	祠堂	su21doruŋ21 	
0568	和尚	和尚	hu21lioŋ23 	
0569	尼姑	尼姑	nae21ou331 	
0570	道士	道师	dor44lai331 	
0571	算命	看命	gaŋ55miaŋ23 	统称
0572	运气	运气	wouŋ44kei 	
0573	保佑	保佑	bor55yeu23 	
0574	人	侬	nœuŋ21 	一个～
0575	男人	丈夫侬	doruŋ23mu44nœuŋ331 	成年的，统称
0576	女人	诸娘	zi23nioŋ331 	三四十岁已婚的，统称
0577	单身汉	单身哥	daŋ23niŋ44ŋor331 	
0578	老姑娘	大诸某囝 老诸某囝	do23zu44u44giaŋ41 lau23zu44u44giaŋ41 	
0579	婴儿	幼囝	yiu55iaŋ51 	
0580	小孩	傀儡	gø44løi41 	三四岁的，统称
0581	男孩	丈夫囝	doruŋ23mu44iaŋ41 	统称：外面有个～在哭
0582	女孩	诸娘囝 诸某囝	zi22nioŋ44ŋiaŋ41 zuŋ44ŋiaŋ41 	统称：外面有个～在哭 统称：外面有个～在哭
0583	老人	老侬家	lau44nœuŋ21ŋa331 	七八十岁的，统称
0584	亲戚	亲戚	ciŋ44nʒek5 	统称
0585	朋友	朋友丁	bœŋ21iu55diŋ331 	统称
0586	邻居	隔壁厝	ga35bei55ʒu35 	统称
0587	客人	侬客	nœuŋ21ŋak5 	
0588	农民	做塍侬	zor55caeiŋ23nœuŋ331 	
0589	商人	生意侬	saŋ44ŋi55nœuŋ21 	
0590	手艺人	手艺其侬	ciu55ŋi44ə0nœuŋ21 	
0591	泥水匠	做泥师傅	zor55nae21sai44ou44 	
0592	木匠	做木师傅	zor55mu44sai44ou44 	
0593	裁缝	衣裳师傅	i23ioŋ44sai44ou44 	
0594	理发师	剃头师傅	ti55dausai44ou44 	
0595	厨师	厨师傅	du21lai44ou44 	
0596	师傅	师傅	sai44ou44 	
0597	徒弟	徒弟	du21lae23 	
0598	乞丐	乞食	ki55lek2 	统称，非贬称(无统称则记成年男的)
0599	妓女	做白面 做婊	zor55ba44meiŋ35 zor55biu51 	
0600	流氓	鸬鹚	lu21lei21 	
0601	贼	贼	caek2 	
0602	瞎子	白爿	ba44baeiŋ21 	统称，非贬称(无统称则记成年男的)
0603	聋子	耳聋	ŋe44lœuŋ21 	统称，非贬称(无统称则记成年男的)
0604	哑巴	病哑	baŋ44ŋa41 	统称，非贬称(无统称则记成年男的)
0605	驼子	驼匏	dor21βou21 	统称，非贬称(无统称则记成年男的)
0606	瘸子	跷骹	kiu21a331 	统称，非贬称(无统称则记成年男的)
0607	疯子	癫侬	diŋ23nœuŋ331 	统称，非贬称(无统称则记成年男的)
0608	傻子	戆囝	ŋoruŋ44ŋiaŋ41 	统称，非贬称(无统称则记成年男的)
0609	笨蛋	痴乇	ci44nork5 	蠢的人
0610	爷爷	阿公	a21gouŋ331 	呼称，最通用的
0611	奶奶	阿婆	a21βor21 	呼称，最通用的
0612	外祖父	外公	ŋui44ouŋ331 	叙称
0613	外祖母	外婆	ŋui44βor21 	叙称
0614	父母	爸奶	ma44nae41 	合称
0615	父亲	侬爸	nuŋ21ma23 	叙称
0616	母亲	侬奶	nuŋ21nae41 	叙称
0617	爸爸	爸爸 爸	ba44ba331 ma23 	呼称，最通用的 呼称，最通用的
0618	妈妈	妈妈 奶	ma44ma331 nae41 	呼称，最通用的 呼称，最通用的
0619	继父	后爸 后叔	au44ma23 au44ʒøuk5 	叙称 叙称
0620	继母	后奶	au44nae41 	叙称
0621	岳父	丈侬	diu23nœuŋ21 	叙称
0622	岳母	丈奶	dia23nae41 	叙称
0623	公公	丈翁	diu23aŋ331 	叙称
0624	婆婆	弟=#5	di23e331 	叙称
0625	伯父	阿伯	a21βak5 	呼称，统称
0626	伯母	阿#6	a21βae35 	呼称，统称
0627	叔父	阿叔	a21ʒøuʡ5 	呼称，统称
0628	排行最小的叔父	细叔	sae55øuk5 	呼称，如“幺叔”
0629	叔母	阿婶	a21liŋ41 	呼称，统称
0630	姑	姑姐 阿姐	gu23ʒe331 a23ʒe331 	统称，呼称(无统称则记分称：比父大，比父小；已婚，未婚) 统称，呼称(无统称则记分称：比父大，比父小；已婚，未婚)
0631	姑父	姑丈	gu44lioŋ23 	呼称，统称
0632	舅舅	舅	gou23 	呼称
0633	舅妈	妗	geiŋ23 	呼称
0634	姨	姨	ei21 	统称，呼称(无统称则记分称：比母大，比母小；已婚，未婚)
0635	姨父	姨丈	i21liorŋ23 	呼称，统称
0636	弟兄	兄弟哥	hiaŋ44ni44or331 	合称
0637	姊妹	姊妹哥	zi44mui55or331 	合称，注明是否可包括男性
0638	哥哥	哥	gor331 	呼称，统称
0639	嫂子	嫂	sor41 	呼称，统称
0640	弟弟	弟	di23 	叙称
0641	弟媳	弟新妇	di21ʒeiŋ44mou23 	叙称
0642	姐姐	姊哥 姊	zi44or331 zi41 	呼称，统称 呼称，统称
0643	姐夫	丈 姐丈	dioŋ23 ze55dioŋ23 	呼称 呼称
0644	妹妹	妹	mui35 	叙称
0645	妹夫	妹婿	mui55dai35 	叙称
0646	堂兄弟	堂兄弟	doruŋ21iŋ44nae44 	叙称，统称
0647	表兄弟	表兄弟	biu55iŋ44nae44 	叙称，统称
0648	妯娌	煮饭两	zi44ba55aŋ53 	弟兄妻子的合称
0649	连襟	同门丈	dœuŋ21muŋ21nioŋ23 	姊妹丈夫的关系，叙称
0650	儿子	囝	giaŋ41 	叙称：我的～
0651	儿媳妇	囝新妇	giaŋ55neiŋ44mou23 	叙称：我的～
0652	女儿	诸某囝	zuŋ44niaŋ41 	叙称：我的～
0653	女婿	年婿	niŋ21nʒai35 	叙称：我的～
0654	孙子	孙	soruŋ331 	儿子之子
0655	重孙子	隔两孙	ga44laŋ55noruŋ331 	儿子之孙
0656	侄子	孙	soruŋ331 	弟兄之子
0657	外甥	外甥	ŋe44ʒaŋ331 	姐妹之子
0658	外孙	外甥	ŋe44ʒaŋ331 	女儿之子
0659	夫妻	老公妈	lau23ouŋ44ma41 	合称
0660	丈夫	老公	lau44ouŋ331 	叙称，最通用的，非贬称：她的～
0661	妻子	老妈	lau44ma41 	叙称，最通用的，非贬称：他的～
0662	名字	名字	miaŋ21nʒei23 	
0663	绰号	号名	hor44miaŋ21 	
0664	干活儿	作息	zor55lek5 	统称：在地里～
0665	事情	事干	su44aŋ35 	一件～
0666	插秧	播塍	bo55ʒaeiŋ21 	
0667	割稻	割䅢	gak55deu23 	
0668	种菜	栽菜	zai44cai35 	
0669	犁	犁	lœ21 	
0670	锄头	锄头	ti21lau21 	
0671	镰刀	镰锲	liŋ21ŋaek5 	
0672	把儿	柄	baŋ35 	刀～
0673	扁担	扁担	biŋ55naŋ331 	
0674	箩筐	箩 篮	lo21 laŋ21 	
0675	筛子	筛	tai331 	统称
0676	簸箕	灰箕	hu44ei331 	农具，有梁的
0677	簸箕	粪屑䇭	buŋ35nor55lor51 	簸米用
0678	独轮车	独轮车	du44luŋ21nʒe33 	
0679	轮子	轮	louŋ21 	旧式的，如独轮车上的
0680	碓	碓臼	dai35ou23 	整体
0681	臼	舂臼	zuŋ44ŋou331 	
0682	磨	磨	mor23 	名词
0683	年成	冬 年成	dœuŋ331 niŋ21niaŋ21 	
0684	走江湖	行江湖	giaŋ21goruŋ23ŋou331 	统称
0685	打工	拍工	pak5gœuŋ331 	
0686	斧子	斧头	bo35lau51 	
0687	钳子	钳囝	kiŋ21ŋiaŋ41 	
0688	螺丝刀	螺丝刀	lori21ʒi44dor331 	
0689	锤子	锤	tøi21 	
0690	钉子	洋钉	yioŋ21neiŋ331 	
0691	绳子	索	sork5 	
0692	棍子	棍	gouŋ23 	
0693	做买卖	做生意	zor55laŋ44ŋei35 	
0694	商店	店	daeiŋ35 	
0695	饭馆	饭店	maŋ55naeiŋ35 	
0696	旅馆	客店	ka55laeiŋ35 	旧称
0697	贵	贵	gøi35 	
0698	便宜	便宜	biŋ21ŋiŋ21 	
0699	合算	合算	hak44soruŋ35 	
0700	折扣	折扣	zik55kaeu35 	
0701	亏本	蚀本	sie44buŋ41 	
0702	钱	钱	ziŋ21 	统称
0703	零钱	碎钱	cori55iŋ21 	
0704	硬币	角囝	gœuk55giaŋ51 	
0705	本钱	本钱	buŋ35nʒiŋ51 	
0706	工钱	工夫	gœuŋ44ŋou44 	
0707	路费	盘钱	buaŋ21iŋ21 	
0708	花	使	sai41 	～钱
0709	赚	趁	teiŋ35 	卖一斤能～一毛钱
0710	挣	趁	teiŋ35 	打工～了一千块钱
0711	欠	欠	kiŋ35 	～他十块钱
0712	算盘	算盘	soruŋ55muaŋ21 	
0713	秤	秤	ceiŋ35 	统称
0714	称	称	ceiŋ331 	用秆秤～
0715	赶集	赶集	gaŋ35zek5 	
0716	集市	市场	ci44dioŋ21 	
0717	庙会	佛事	hu44sou23 	
0718	学校	学堂	ho44loruŋ21 	
0719	教室	教室	gau55lek5 	
0720	上学	去学堂	kor55ho44loruŋ21 	
0721	放学	放冥 放昼	buŋ55maŋ21 buŋ55nau35 	
0722	考试	考书	kor55ʒøi331 	
0723	书包	册包	ca55bau331 	
0724	本子	簿	bu23 	
0725	铅笔	铅笔	yiŋ21mek5 	
0726	钢笔	钢笔	goruŋ55mek5 	
0727	圆珠笔	圆珠笔	ŋouŋ21nʒou55βek5 	
0728	毛笔	墨笔	mœukbek5 	
0729	墨	墨	mœuk2 	
0730	砚台	砚	ŋiŋ35 	
0731	信	信	seiŋ35 	一封～
0732	连环画	侬囝书	nœuŋ21ŋiaŋ55nʒøi331 	
0733	捉迷藏	搦捂捂	na44u55ou35 	
0734	跳绳	跳绳	tieu55leiŋ21 	
0735	毽子	毽	giŋ35 	
0736	风筝	纸鹞	ze55miu331 	
0737	舞狮	舞狮	wu55sai331 	
0738	鞭炮	火炮	hui55βau35 	统称
0739	唱歌	唱歌	ciorŋ55gor331 	
0740	演戏	做戏	zor55hi35 	
0741	锣鼓	锣鼓板	lor21u55βaeiŋ51 	统称
0742	二胡	二胡	ni21ou21 	
0743	笛子	簧哨	huaŋ21nau35 	
0744	划拳	猜谜	cai44mui35 	
0745	下棋	行棋	giaŋ21gei21 	
0746	打扑克	拍批	pak55pi331 	
0747	打麻将	拍麻雀	pa55me21ʒøuk5 	
0748	变魔术	做把戏	zor35bau55i35 	
0749	讲故事	讲故事	guŋ44gu55lou331 	
0750	猜谜语	填櫆	deiŋ21kori331 	
0751	玩儿	客聊	ta55liu21 	游玩：到城里～
0752	串门儿	去侬厝	kø55nœuŋ21cu35 	
0753	走亲戚	行亲戚	giaŋ21ciŋ44nʒei35 	
0754	看	睨	ae35 	～电视
0755	听	听	tiaŋ331 	用耳朵～
0756	闻	嗅	heu35 	嗅：用鼻子～
0757	吸	吸	ŋek5 	～气
0758	睁	擘	bak5 	～眼
0759	闭	䀫	kiak5 	～眼
0760	眨	聂=	niak5 	～眼
0761	张	擘	bak5 	～嘴
0762	闭	合	hak2 	～嘴
0763	咬	齩	ga23 	狗～人
0764	嚼	齩	ga23 	把肉～碎
0765	咽	吞	toruŋ331 	～下去
0766	舔	舐	laek5 	人用舌头～
0767	含	含	gaŋ21 	～在嘴里
0768	亲嘴	噈	sik5 	
0769	吮吸	嗍	sork5 	用嘴唇聚拢吸取液体，如吃奶时
0770	吐	呸	pøi35 	上声，把果核儿～掉
0771	吐	吐	tou35 	去声，呕吐：喝酒喝～了
0772	打喷嚏	哈欠	ha55ci51 	
0773	拿	掏	dor21 	用手把苹果～过来
0774	给	乞	køuk5 	他～我一个苹果
0775	摸	摸	mu331 	～头
0776	伸	犁=	lœ21 	～手
0777	挠	空= 扒	kœuŋ35 ba21 	～痒痒 ～痒痒
0778	掐	掐	kiak5 	用拇指和食指的指甲～皮肉
0779	拧	挪	nor21 	～螺丝
0780	拧	拧	niŋ23 	～毛巾
0781	捻	捻	noruŋ21 	用拇指和食指来回～碎
0782	掰	擘	bak5 	把橘子～开，把馒头～开
0783	剥	剥	buk5 	～花生
0784	撕	#7 擘	ti331 bak5 	把纸～了 把纸～了
0785	折	拗	a41 	把树枝～断
0786	拔	拔	baek2 	～萝卜
0787	摘	摘	dek5 	～花
0788	站	徛	ke23 	站立：～起来
0789	倚	倚	ai41 	斜靠：～在墙上
0790	蹲	跍肚	go21lou23 	～下
0791	坐	坐	sori23 	～下
0792	跳	跞	lek5 	青蛙～起来
0793	迈	扳	baŋ331 	跨过高物：从门槛上～过去
0794	踩	#8	nøi23 	脚～在牛粪上
0795	翘	勼	giu21 	～腿
0796	弯	伏	bouk2 	～腰
0797	挺	挺	tiŋ41 	～胸
0798	趴	覆	pouk5 	～着睡
0799	爬	爬跚	ba21laŋ21 	小孩在地上～
0800	走	行	giaŋ21 	慢慢儿～
0801	跑	走	zo41 	慢慢儿走，别～
0802	逃	走	zo41 	逃跑：小偷～走了
0803	追	逐	døuk2 	追赶：～小偷
0804	抓	搦	nak2 	～小偷
0805	抱	抱	por13 	把小孩～在怀里
0806	背	示=	se23 	～孩子
0807	搀	扶	hou21 	～老人
0808	推	扶	pu21 	几个人一起～汽车
0809	摔	踣	buak2 	跌：小孩～倒了
0810	撞	撞	doruŋ23 	人～到电线杆上
0811	挡	档	laŋ21 	你～住我了，我看不见
0812	躲	捂	ou35 	躲藏：他～在床底下
0813	藏	囥	koruŋ35 	藏放，收藏：钱～在枕头下面
0814	放	安	aŋ331 	把碗～在桌子上
0815	摞	摞	lori21 	把砖～起来
0816	埋	埋	dai21 	～在地下
0817	盖	𠖫	gaŋ41 	把茶杯～上
0818	压	硩	dak5 	用石头～住
0819	摁	抑=	ek5 	用手指按：～图钉
0820	捅	忒=	tœuk5 	用棍子～鸟窝
0821	插	插	cak5 	把香～到香炉里
0822	戳	忒=	tœuk5 	～个洞
0823	砍	剉	cori35 	～树
0824	剁	斫	dork5 	把肉～碎做馅儿
0825	削	条=	daeu21 	～苹果
0826	裂	必	bek5 	木板～开了
0827	皱	皱	zaeu35 	皮～起来
0828	腐烂	臭了	cau35li0 	死鱼～了
0829	擦	拭	cek5 	用毛巾～手
0830	倒	𢯽	cœ21 	把碗里的剩饭～掉
0831	扔	搏=	boruk5 	丢弃：这个东西坏了，～了它
0832	扔	衡=	hœuŋ21 	投掷：比一比谁～得远
0833	掉	落	lœuk5 	掉落，坠落：树上～下一个梨
0834	滴	滴	dek5 	水～下来
0835	丢	落	lœuk5 	丢失：钥匙～了
0836	找	𢶀	cui35 	寻找：钥匙～到
0837	捡	拾	kak5 	～到十块钱
0838	提	掼	guaŋ23 	用手把篮子～起来
0839	挑	担	daŋ331 	～担
0840	扛	搁	goruk5 	gáng，把锄头～在肩上
0841	抬	扛	goruŋ331 	～轿
0842	举	驮	dor21 	～旗子
0843	撑	撑	taŋ331 	～伞
0844	撬	勼	giu23 	把门～开
0845	挑	捡	gaeiŋ41 	挑选，选择：你自己～一个
0846	收拾	拾拉	kak55lak5 	～东西
0847	挽	屈	kouk5 	～袖子
0848	涮	涮	soruŋ35 	把杯子～一下
0849	洗	洗	sae41 	～衣服
0850	捞	盝	lœuk2 	～鱼
0851	拴	羁	gi331 	～牛
0852	捆	缚	buk2 	～起来
0853	解	解	gae41 	～绳子
0854	挪	挪	no21 	～桌子
0855	端	驮	dok21 	～碗
0856	摔	拍	pak5 	碗～碎了
0857	掺	掺	caŋ331 	～水
0858	烧	烧	siu331 	～柴
0859	拆	拆	cik5 	～房子
0860	转	#9	liŋ35 	～圈儿
0861	捶	捶	tøi21 	用拳头～
0862	打	拍	pak5 	统称：他～了我一下
0863	打架	干#10	gaŋ55mek2 	动手：两个人在～
0864	休息	歇	hik5 	
0865	打哈欠	喊=#11	haŋ55nae35 	
0866	打瞌睡	盹	cuŋ41 	
0867	睡	睏	noruŋ35 	他已经～了
0868	打呼噜	鼾	haŋ21 	
0869	做梦	做梦	zor55mœuŋ35 	
0870	起床	𣪟起	øuk5i41 	
0871	刷牙	洗喙	sae55ʒøi35 	
0872	洗澡	洗汤	sae55loruŋ331 	
0873	想	忖	coruŋ21 	思索：让我～一下
0874	想	忖	coruŋ21 	想念：我很～他
0875	打算	拍算	pak55loruŋ35 	我～开个店
0876	记得	记得	gei35lik5 	
0877	忘记	勿会记的	mae44gei35lik5 	
0878	怕	惊	giaŋ331 	害怕：你别～
0879	相信	信得过	seiŋ34nik55gu35 	我～你
0880	发愁	愁侬	daeu21nœuŋ21 	
0881	小心	细腻	sae55nei23 	过马路要～
0882	喜欢	中意	duŋ55ei35 	～看电视
0883	讨厌	讨厌	tor55iŋ35 	～这个人
0884	舒服	爽快	suŋ55ŋuai35 	凉风吹来很～
0885	难受	乞亏	ki55øi331 	生理的
0886	难过	䆀得过	ma23ni55u35 	心理的
0887	高兴	兴	heiŋ35 	
0888	生气	恻	caek5 	
0889	责怪	怪	guai35 	
0890	后悔	悔意	hui55ei35 	
0891	忌妒	妒	gei23 	
0892	害羞	无样侬	mor21ioŋ44nœuŋ21 	
0893	丢脸	面擘了	miŋ34bak5lik5 	
0894	欺负	欺负	ki44ou23 	
0895	装	假	ga41 	～病
0896	疼	惜	sik5 	～小孩儿
0897	要	爱	ori35 	我～这个
0898	有	有	ou23 	我～一个孩子
0899	没有	无	mor21 	他～孩子
0900	是	是	sei23 	我～老师
0901	不是	伓是	nei23 	他～老师
0902	在	居许位	giu21ei35 	他～家
0903	不在	无居许位	mor21giu21ei35 	他～家
0904	知道	八传#12	bok5lioŋ21neiŋ35 	我～这件事
0905	不知道	莫八传#12	mok55nioŋ21neiŋ35 	我～这件事
0906	懂	八传	bok5lioŋ21 	我～英语
0907	不懂	莫八传	mok55nioŋ21 	我～英语
0908	会	会	ae23 	我～开车
0909	不会	勿会	mae23 	我～开车
0910	认识	八传	bok55lioŋ21 	我～他
0911	不认识	莫八传	mok55nioŋ21 	我～他
0912	行	会使得	ae44lai53lik5 	应答语
0913	不行	勿会使得	mae44lai44lik5 	应答语
0914	肯	肯	kiŋ41 	～来
0915	应该	应当	siŋ44noruŋ331 	～去
0916	可以	会使得	ae44lai53lik5 	～去
0917	说	讲	gouŋ53 	～话
0918	话	话	wo23 	说～
0919	聊天儿	讲客聊	guŋ44na55liu21 	
0920	叫	#13	wou35 	～他一声儿
0921	吆喝	吼	ho41 	大声喊
0922	哭	号	au21 	小孩～
0923	骂	骂	ma35 	当面～人
0924	吵架	干#10	gaŋ55mek2 	动嘴：两个人在～
0925	骗	骗	piŋ35 	～人
0926	哄	褒=	bor331 	～小孩
0927	撒谎	作讲	zor55uŋ331 	
0928	吹牛	吹牛皮	cui44ŋui21βi331 	
0929	拍马屁	哈肾脬	ha21niŋ44ma331 	
0930	开玩笑	解闷	gae55mouŋ23 	
0931	告诉	讲	guŋ41 	～他
0932	谢谢	乞侬	ki55lœuŋ331 	致谢语
0933	对不起	对不住	dor44bu55zøi23 	致歉语
0934	再见	回头见	hui21dau21iŋ35 	告别语
0935	大	大	do23 	苹果～
0936	小	嫩	noruŋ23 	苹果～
0937	粗	粗 大	cou331 do23 	绳子～ 绳子～
0938	细	嫩	noruŋ23 	绳子～
0939	长	长	doruŋ21 	线～
0940	短	短	døi41 	线～
0941	长	恒	oruŋ21 	时间～
0942	短	短	døi41 	时间～
0943	宽	阔	kuak5 	路～
0944	宽敞	通瘼=	tœuŋ44mak5 	房子～
0945	窄	狭	aek2 	路～
0946	高	悬	gaeiŋ21 	飞机飞得～
0947	低	矮	ae41 	鸟飞得～
0948	高	悬	gaeiŋ21 	他比我～
0949	矮	矮	ae41 	他比我～
0950	远	远	huŋ23 	路～
0951	近	近	gøuŋ23 	路～
0952	深	深	ceiŋ331 	水～
0953	浅	浅	ciŋ41 	水～
0954	清	清	ceiŋ331 	水～
0955	浑	浊	dœuk2 	水～
0956	圆	圆	yiŋ21 	
0957	扁	扁	biŋ41 	
0958	方	四角	si55gœuk5 	
0959	尖	尖	ziŋ331 	
0960	平	平	baŋ21 	
0961	肥	肥	bøi21 	～肉
0962	瘦	㾪	seiŋ41 	～肉
0963	肥	肥	bøi21 	形容猪等动物
0964	胖	肥	bøi21 	形容人
0965	瘦	𤸬	sori331 	形容人、动物
0966	黑	乌	sou331 	黑板的颜色
0967	白	白	bak2 	雪的颜色
0968	红	红	œuŋ21 	国旗的主颜色，统称
0969	黄	黄	huŋ21 	国旗上五星的颜色
0970	蓝	蓝	laŋ21 	蓝天的颜色
0971	绿	绿	luk2 	绿叶的颜色
0972	紫	紫	zi41 	紫药水的颜色
0973	灰	灰	hui331 	草木灰的颜色
0974	多	穧	sae23 	东西～
0975	少	少	ziu41 	东西～
0976	重	重	dœuŋ23 	担子～
0977	轻	轻	keiŋ331 	担子～
0978	直	直	dek2 	线～
0979	陡	崎	ke35 	坡～，楼梯～
0980	弯	曲	kok5 	弯曲：这条路是～的
0981	歪	歪	uai331 	帽子戴～了
0982	厚	厚	gau23 	木板～
0983	薄	薄	boruk2 	木板～
0984	稠	氵局	gøuk2 	稀饭～
0985	稀	清	ceiŋ331 	稀饭～
0986	密	密	maek2 	菜种得～
0987	稀	疏	sœ331 	稀疏：菜种得～
0988	亮	光	guŋ331 	指光线，明亮
0989	黑	暗	aŋ35 	指光线，完全看不见
0990	热	热	ik2 	天气
0991	暖和	暖	noruŋ53 	天气
0992	凉	凊	ceiŋ35 	天气
0993	冷	寒	gaŋ21 	天气
0994	热	热	ik2 	水
0995	凉	凊	ceiŋ35 	水
0996	干	焦	da331 	干燥：衣服晒～了
0997	湿	烂 澹	laŋ23 daŋ21 	潮湿：衣服淋～了 潮湿：衣服淋～了
0998	干净	清气	ciŋ44ŋei35 	衣服～
0999	脏	肮脏	aŋ44naŋ331 	肮脏，不干净，统称：衣服～
1000	快	利	lei23 	锋利：刀子～
1001	钝	勿会利	mae44lei23 	刀～
1002	快	快	kae35 	坐车比走路～
1003	慢	慢	maeiŋ23 	走路比坐车～
1004	早	早 快	za41 kae35 	来得～ 来得～
1005	晚	晏	aŋ35 	来～了
1006	晚	晏	aŋ35 	天色～
1007	松	肨	paŋ35 	捆得～
1008	紧	橂	daeiŋ23 	捆得～
1009	容易	好作息	hor23ʒor55lek5 	这道题～
1010	难	䆀作息	mai23zor55lek5 	这道题～
1011	新	新	seiŋ331 	衣服～
1012	旧	古老	gu35lor51 	衣服～
1013	老	老	lau23 	人～
1014	年轻	后生	hau44laŋ331 	人～
1015	软	嫩	nœuŋ35 	糖～
1016	硬	硬	ŋœuŋ23 	骨头～
1017	烂	漠=	moruk5 	肉煮得～
1018	糊	燃	niaŋ21 	饭烧～了
1019	结实	橂座=	daeiŋ44nʒor23 	家具～
1020	破	破	po35 	衣服～
1021	富	富	bou35 	他家很～
1022	穷	穷	gøuŋ21 	他家很～
1023	忙	无闲	mor21aeiŋ21 	最近很～
1024	闲	有闲	u44aeiŋ21 	最近比较～
1025	累	惑=	hœuk2 	走路走得很～
1026	疼	痛	tiaŋ35 	摔～了
1027	痒	痒	sioŋ23 	皮肤～
1028	热闹	闹热	nau44ik2 	看戏的地方很～
1029	熟悉	会熟	ae44søuk2 	这个地方我很～
1030	陌生	生分	saŋ44ŋouŋ23 	这个地方我很～
1031	味道	味	mei23 	尝尝～
1032	气味	气	kei35 	闻闻～
1033	咸	咸	gaeiaŋ21 	菜～
1034	淡	䭕	ziaŋ41 	菜～
1035	酸	酸	soruŋ331 	
1036	甜	甜	diŋ331 	
1037	苦	苦	ku41 	
1038	辣	辣	lak2 	
1039	鲜	鲜	ciŋ331 	鱼汤～
1040	香	香	hioŋ331 	
1041	臭	臭	cau35 	
1042	馊	臭馊	cau55laeu331 	饭～
1043	腥	臭腥	cau55liŋ331 	鱼～
1044	好	好	hor41 	人～
1045	坏	䆀	mai35 	人～
1046	差	差装=	ca44ʒoruŋ331 	东西质量～
1047	对	无错	mor21ʒor35 	账算～了
1048	错	错	cor35 	账算～了
1049	漂亮	绰	ciok5 	形容年轻女性的长相：她很～
1050	丑	无样式	mor21ioŋ44nek5 	形容人的长相：猪八戒很～
1051	勤快	肯做	kiŋ55nʒor35 	
1052	懒	定	diaŋ23 	
1053	乖	韶=怪 恶	siu21guai35 ork5 	
1054	顽皮	刁皮	diu44pi41 	
1055	老实	老实	lor35leik5 	
1056	傻	戆	ŋoruŋ23 	痴呆
1057	笨	痴	cei331 	蠢
1058	大方	大量	do44lioŋ23 	不吝啬
1059	小气	脱皮	tor44pi331 	吝啬
1060	直爽	直爽	di44soruŋ41 	性格～
1061	犟	拗	ŋau35 	脾气～
1062	一	蜀 一	sik2 ek5 	～二三四五……，下同 ～二三四五……，下同
1063	二	二 两	nei23 laŋ213 	
1064	三	三	saŋ331 	
1065	四	四	sei35 	
1066	五	五	ŋou23 	
1067	六	六	lœuk2 	
1068	七	七	cek5 	
1069	八	八	baek5 	
1070	九	九	gou23 	
1071	十	十	saek2 	
1072	二十	二十	ni21ʒaek2 	有无合音
1073	三十	三十	saŋ331saek2 	有无合音
1074	一百	百 蜀百	bak5 si44bak5 	
1075	一千	千 蜀千	caeiŋ331 si44ʒaeiŋ331 	
1076	一万	万 蜀万	waŋ23 si44uaŋ23 	
1077	一百零五	蜀百零五	si44bak55liŋ21ŋou23 	
1078	一百五十	百五	bak55ŋou23 	
1079	第一	拍一	pak55ek5 	～，第二
1080	二两	两两	laŋ23lioŋ41 	重量
1081	几个	几隻	gui44ek5 	你有～孩子？
1082	俩	两	laŋ23 	你们～
1083	仨	三	saŋ331 	你们～
1084	个把	隻把	zek55ba41 	
1085	个	隻	zek5 	一～人
1086	匹	头	tau21 	一～马
1087	头	头	tau21 	一～牛
1088	头	头	tau21 	一～猪
1089	只	头	tau21 	一～狗
1090	只	头	tau21 	一～鸡
1091	只	头	tau21 	一～蚊子
1092	条	头	tau21 	一～鱼
1093	条	头	tau21 	一～蛇
1094	张	隻	zeik5 	一～嘴
1095	张	张	tioŋ331 	一～桌子
1096	床	床	coruŋ21 	一～被子
1097	领	床	coruŋ21 	一～席子
1098	双	双	sœuŋ331 	一～鞋
1099	把	把	ba41 	一～刀
1100	把	把	ba41 	一～锁
1101	根	条	daeu21 	一～绳子
1102	支	把	ba41 	一～毛笔
1103	副	副	hou35 	一～眼镜
1104	面	面	meiŋ35 	一～镜子
1105	块	粒	lak2 	一～香皂
1106	辆	架	ga35 	一～车
1107	座	座	zor23 	一～房子
1108	座	条	daeu21 	一～桥
1109	条	条	daeu21 	一～河
1110	条	条	daeu21 	一～路
1111	棵	兜	dau441 	一～树
1112	朵	蒲	bu21 	一～花
1113	颗	粒	lak2 	一～珠子
1114	粒	粒	lak2 	一～米
1115	顿	顿	doruŋ35 	一～饭
1116	剂	贴	tek5 	一～中药
1117	股	落	lork2 	一～香味
1118	行	行	oruŋ21 	一～字
1119	块	块	dori35 	一～钱
1120	毛	角	gœuk5 	角：一～钱
1121	件	样	yioŋ23 	一～事情
1122	点儿	呢呢 粒粒	ni555nik5 na44nak2 	一～东西 一～东西
1123	些	呢呢 粒粒	ni555nik5 na44nak2 	一～东西 一～东西
1124	下	下	a23 	打一～，动量，不是时量
